Mario bestellingen;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra IngrediÇ®nten;Prijs Extra IngrediÇ®nten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Soest;Laurens Tholen;06-84245798;LaurensTholen@cuvox.de;Theo Dobbehof 179;Soest;zaterdag 30 maart 2019;Afhalen;zaterdag 30 maart 2019;19:37;Four Cheese;Medium Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 7,95;ƒ?ª 29,85;;ƒ?ª 0,00;ƒ?ª 29,85
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Gorinchem;Jans Lau;06-97360753;JansLau@fleckens.hu;Chopinpad 99;Gorinchem;maandag 29 januari 2018;Afhalen;maandag 29 januari 2018;18:27;Funghi;Family XXL Pizza;Tomatensaus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 9,95;ƒ?ª 21,90;25% korting op je bestelling;ƒ?ª 5,48;ƒ?ª 16,43
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Drachten;Manon Yavuz;06-10869762;ManonYavuz@rhyta.com;Westeinde 122;Nieuwleusen;maandag 18 maart 2019;Afhalen;maandag 18 maart 2019;16:30;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;ƒ?ª 11,95;;ƒ?ª 0,00;ƒ?ª 11,95
;;;;;;;;;;;;;;;;;;;;;;
Rotterdam Mariniersweg;?ebnem Ramcharan;06-17945145;SebnemRamcharan@armyspy.com;Bramantestraat 129;Rotterdam;zondag 28 mei 2017;Bezorgen;zondag 28 mei 2017;16:36;Hot & Spicy;Italian Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 9,95;ƒ?ª 36,35;;ƒ?ª 0,00;ƒ?ª 36,35
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;1;Pepperoni, Knoflooksaus Swirl, Ham, Rode Ui;ƒ?ª 3,50;ƒ?ª 15,45;;;;
;;;;;;;;;;;;;;;;;;;;;;
Naaldwijk;Gregory van Aerle;06-19884446;GregoryvanAerle@fleckens.hu;Esdoorn 139;Naaldwijk;zaterdag 18 februari 2017;Afhalen;zaterdag 18 februari 2017;20:28;Funghi;Large Pizza;Tomatensaus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 47,75;;ƒ?ª 0,00;ƒ?ª 47,75
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 7,95;;;;
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 7,95;;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Soest;Perry Ringelberg;06-23301757;PerryRingelberg@cuvox.de;Prins Bernhardlaan 191;Soest;dinsdag 15 augustus 2017;Afhalen;dinsdag 15 augustus 2017;19:13;Supreme;Italian Pizza;Barbecue Saus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 8,95;;ƒ?ª 0,00;ƒ?ª 8,95
;;;;;;;;;;;;;;;;;;;;;;
Maarssen;Augustinus Francis;06-59242418;AugustinusFrancis@jourrapide.com;Fazantenkamp 153;Maarssen;maandag 9 april 2018;Afhalen;maandag 9 april 2018;18:45;Caprese;Large Pizza;Tomatensaus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 8,95;;ƒ?ª 0,00;ƒ?ª 8,95
;;;;;;;;;;;;;;;;;;;;;;
Uden;Mauritius van Bergen;06-12041885;MauritiusvanBergen@einrot.com;Biggenstraat 140;Uden;vrijdag 1 december 2017;Afhalen;vrijdag 1 december 2017;16:22;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 9,95;ƒ?ª 29,85;2e pizza gratis bij afhalen;ƒ?ª 8,95;ƒ?ª 20,90
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;ƒ?ª 8,95;;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Heerhugowaard;Fokje Ottens;06-90330636;FokjeOttens@armyspy.com;Frans Halsstraat 179;Heerhugowaard;donderdag 7 februari 2019;Bezorgen;donderdag 7 februari 2019;19:59;Chicken Supreme;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 27,90;ƒ?ª 51,80;25% korting op je bestelling;ƒ?ª 12,95;ƒ?ª 38,85
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 13,95;;;;
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Geleen;ZoÇ®y Veldhuis;06-32470314;ZoeyVeldhuis@gustr.com;Nusterweg 137;Sittard;zondag 11 juni 2017;Afhalen;zondag 11 juni 2017;20:36;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 7,95;ƒ?ª 46,30;;ƒ?ª 0,00;ƒ?ª 46,30
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 23,90;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;ƒ?ª 6,95;;1;Gorgonzola, Gehakt, Pepperoni, Honing Mosterdsaus;ƒ?ª 3,50;ƒ?ª 14,45;;;;
;;;;;;;;;;;;;;;;;;;;;;
Amersfoort Vathorst;Guy van Haandel;06-74817824;GuyvanHaandel@fleckens.hu;Het Langhuis 18;Amersfoort;zaterdag 26 augustus 2017;Bezorgen;zaterdag 26 augustus 2017;18:12;Tonno;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 13,95;ƒ?ª 13,95;;ƒ?ª 0,00;ƒ?ª 13,95
;;;;;;;;;;;;;;;;;;;;;;
Weert;Chermaine Jordans;06-16969135;ChermaineJordans@fleckens.hu;Slachterijstraat 143;Weert;maandag 10 april 2017;Afhalen;maandag 10 april 2017;16:34;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;ƒ?ª 8,95;;4;;ƒ?ª 0,00;ƒ?ª 43,80;ƒ?ª 76,65;;ƒ?ª 0,00;ƒ?ª 76,65
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 12,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Amersfoort Vathorst;Jenno van Zessen;06-19811196;JennovanZessen@teleworm.us;Coelhorsterappelgaarde 172;Amersfoort;dinsdag 20 maart 2018;Bezorgen;dinsdag 20 maart 2018;18:38;Perfect Pepperoni;Medium Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 13,90;ƒ?ª 64,70;;ƒ?ª 0,00;ƒ?ª 64,70
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 13,95;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 25,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Hoorn;Sabrien Broekmeulen;06-72150940;SabrienBroekmeulen@dayrep.com;Butterwoud 125;Zwaag;vrijdag 17 maart 2017;Afhalen;vrijdag 17 maart 2017;16:17;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;;2;Pepperoni, Chicken Kebab;ƒ?ª 3,00;ƒ?ª 23,90;ƒ?ª 23,90;25% korting op je bestelling;ƒ?ª 5,98;ƒ?ª 17,93
;;;;;;;;;;;;;;;;;;;;;;
Heerhugowaard;Aloys YalÇõin;06-40885076;AloysYalcin@cuvox.de;Lommerhof 135;Heerhugowaard;maandag 12 augustus 2019;Bezorgen;maandag 12 augustus 2019;18:59;Veggi;Large Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 25,90;ƒ?ª 47,80;;ƒ?ª 0,00;ƒ?ª 47,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Tilburg Thomas van Aquinostraat;Roxana Linskens;06-49744296;RoxanaLinskens@superrito.com;Van Hessen-Kasselstraat 107;Tilburg;donderdag 30 mei 2019;Bezorgen;donderdag 30 mei 2019;18:59;Salame Speciale;Medium Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 53,75;;ƒ?ª 0,00;ƒ?ª 53,75
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;ƒ?ª 8,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 14,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Heemskerk;Hamse van Duuren;06-59800247;HamsevanDuuren@cuvox.de;Jan van Rietwijkstraat 72;Heemskerk;vrijdag 24 mei 2019;Bezorgen;vrijdag 24 mei 2019;20:13;Shoarma;Family XXL Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 14,95;ƒ?ª 36,85;;ƒ?ª 0,00;ƒ?ª 36,85
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Soest;Madelaine Wesselink;06-26968324;MadelaineWesselink@superrito.com;Minstreelpad 25;Soest;zondag 20 oktober 2019;Bezorgen;zondag 20 oktober 2019;16:02;Margaritha;Medium Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 6,95;ƒ?ª 88,55;;ƒ?ª 0,00;ƒ?ª 88,55
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 23,90;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;4;;ƒ?ª 0,00;ƒ?ª 35,80;;;;
;;;;;;;;;;;;;;;;;;;;;;
Amsterdam Ceintuurbaan;Naoual Braakhekke;06-48867633;NaoualBraakhekke@superrito.com;Hoekschewaardplein 67;Amsterdam;dinsdag 19 maart 2019;Afhalen;dinsdag 19 maart 2019;19:44;Veggi;Large Pizza;Tomatensaus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 21,90;ƒ?ª 31,85;3e pizza gratis bij bezorgen;ƒ?ª 0,00;ƒ?ª 31,85
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Den Helder;Dimas Kruit;06-86163836;DimasKruit@rhyta.com;Vogelzand 199;Den Helder;donderdag 28 februari 2019;Afhalen;donderdag 28 februari 2019;18:17;Tricolore;Family XXL Pizza;Creme Fraiche;ƒ?ª 8,95;;1;Groene Olijven, Kaasmix;ƒ?ª 2,50;ƒ?ª 16,45;ƒ?ª 16,45;;ƒ?ª 0,00;ƒ?ª 16,45
;;;;;;;;;;;;;;;;;;;;;;
Purmerend;Bento van Swieten;06-96792667;BentovanSwieten@teleworm.us;Sellingerbos 1;Purmerend;zaterdag 9 februari 2019;Afhalen;zaterdag 9 februari 2019;16:41;Hot & Spicy;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;ƒ?ª 11,95;;ƒ?ª 0,00;ƒ?ª 11,95
;;;;;;;;;;;;;;;;;;;;;;
Leeuwarden;Mine Lokerse;06-83381052;MineLokerse@dayrep.com;Herweystate 146;Leeuwarden;vrijdag 8 september 2017;Bezorgen;vrijdag 8 september 2017;18:32;Four Cheese;Italian Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 10,95;ƒ?ª 95,65;3e pizza gratis bij bezorgen;ƒ?ª 7,95;ƒ?ª 87,70
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;ƒ?ª 8,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 25,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;2;Spaanse Pepers, Spaanse Pepers, Pepperoni, Tonijn;ƒ?ª 4,50;ƒ?ª 38,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Almelo;Bionda Bakkenes;06-67257510;BiondaBakkenes@armyspy.com;Laan van Biel 132;Almelo;woensdag 20 december 2017;Afhalen;woensdag 20 december 2017;20:35;Pollo Pomodore;Family XXL Pizza;Tomatensaus;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 13,95;ƒ?ª 22,90;;ƒ?ª 0,00;ƒ?ª 22,90
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Dordrecht Van Oldenbarneveltplein;Hanan Diender;06-96959178;HananDiender@dayrep.com;Louise de Colignystraat 35;Dordrecht;maandag 17 juli 2017;Bezorgen;maandag 17 juli 2017;18:43;Extravaganzza;Medium Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;ƒ?ª 19,90;;ƒ?ª 0,00;ƒ?ª 19,90
;;;;;;;;;;;;;;;;;;;;;;
Tilburg Thomas van Aquinostraat;Ger van Zuilen;06-50212831;GervanZuilen@armyspy.com;Ruwenberg 97;Udenhout;dinsdag 6 juni 2017;Afhalen;dinsdag 6 juni 2017;19:24;Deluxe;Medium Pizza;Tomatensaus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 6,95;ƒ?ª 40,80;;ƒ?ª 0,00;ƒ?ª 40,80
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;Chicken Supreme;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;;;;
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Helmond;Luciana Versteege;06-63116066;LucianaVersteege@superrito.com;Wethouder van Wellaan 5;Helmond;vrijdag 26 juli 2019;Afhalen;vrijdag 26 juli 2019;17:16;Tonno;Large Pizza;Tomatensaus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 21,90;ƒ?ª 21,90;;ƒ?ª 0,00;ƒ?ª 21,90
;;;;;;;;;;;;;;;;;;;;;;
