Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Berkel en Rodenrijs;Valentijn de Waardt;06-19399169;ValentijndeWaardt@jourrapide.com;Havikenhof 192;Berkel en Rodenrijs;zaterdag 17 november 2018;Bezorgen;zaterdag 17 november 2018;18:50;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Delft Binnenwatersloot;Gerbrig Lavrijsen;06-84975879;GerbrigLavrijsen@jourrapide.com;Sint Jorisweg 124;Delft;dinsdag 6 februari 2018;Afhalen;dinsdag 6 februari 2018;18:03;Americana;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 22,90;3e pizza gratis bij bezorgen;€ 0,00;€ 22,90
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Deventer;Ebenezer Franck;06-89440173;EbenezerFranck@teleworm.us;Koningin Julianastraat 154;Deventer;donderdag 12 oktober 2017;Bezorgen;donderdag 12 oktober 2017;17:12;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 49,60;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 47,60
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;;;;
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;4;;€ 0,00;€ 19,80;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 9,95;;;;

Brunssum;Badreddine Spaargaren;06-74578951;BadreddineSpaargaren@dayrep.com;De Negristraat 124;Brunssum;zaterdag 26 augustus 2017;Bezorgen;zaterdag 26 augustus 2017;16:12;Tonno;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 20,90;;€ 0,00;€ 20,90
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;;;;

Helmond Brandevoort;Marinde Sellis;06-35502891;MarindeSellis@superrito.com;Paulus Potterlaan 20;Helmond;zondag 19 februari 2017;Bezorgen;zondag 19 februari 2017;17:36;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 15,90;€ 15,90;2e pizza gratis bij afhalen;€ 0,00;€ 15,90

Landgraaf;Cathelijne Weistra;06-56411806;CathelijneWeistra@einrot.com;De Tichel 38;Landgraaf;zaterdag 10 november 2018;Afhalen;zaterdag 10 november 2018;18:08;Shoarma;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Brunssum;Elza Faassen;06-23165133;ElzaFaassen@teleworm.us;Kleikoelen 127;Brunssum;maandag 5 maart 2018;Bezorgen;maandag 5 maart 2018;19:44;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Papendrecht;Danick van der Baan;06-14403666;DanickvanderBaan@superrito.com;Hoepmaker 159;Papendrecht;maandag 3 juli 2017;Afhalen;maandag 3 juli 2017;16:48;Funghi;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;€ 5,95;;€ 0,00;€ 5,95

Utrecht Rijnlaan;Jaimey Spoel;06-85643045;JaimeySpoel@teleworm.us;Weg der Verenigde Naties 17;Utrecht;zaterdag 29 december 2018;Afhalen;zaterdag 29 december 2018;16:33;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 23,90;€ 63,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 61,65
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;1;Paprikamix, Rode Ui;€ 2,00;€ 11,95;;;;
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;;;;
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;

Heemskerk;Emir van Zon;06-78221035;EmirvanZon@gustr.com;Maerelaan 3;Heemskerk;maandag 24 juli 2017;Bezorgen;maandag 24 juli 2017;20:33;Funghi;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;€ 9,90;;€ 0,00;€ 9,90

Helmond Brandevoort;Gordon Tuit;06-39935375;GordonTuit@cuvox.de;Kaarderhof 172;Helmond;maandag 23 september 2019;Bezorgen;maandag 23 september 2019;18:47;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 25,90;€ 70,70;;€ 0,00;€ 70,70
;;;;;;;;;;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Den Haag Oude Haagweg;Yosef ten Broek;06-64605551;YoseftenBroek@teleworm.us;Van Everdingenstraat 133;Voorburg;woensdag 25 september 2019;Bezorgen;woensdag 25 september 2019;20:27;Hawaii;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 65,70;;€ 0,00;€ 65,70
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 43,80;;;;

Zwolle;Izaak Hagemans;06-78590939;IzaakHagemans@gustr.com;Dobbe 12;Zwolle;dinsdag 7 maart 2017;Afhalen;dinsdag 7 maart 2017;19:43;Veggi;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 32,80;;€ 0,00;€ 32,80
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Nootdorp;Abdelouahid van der Lubbe;06-51395612;AbdelouahidvanderLubbe@teleworm.us;Pirolastraat 9;Amsterdam;dinsdag 3 oktober 2017;Bezorgen;dinsdag 3 oktober 2017;17:48;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 6,95;25% korting op je bestelling;€ 1,74;€ 5,21

Helmond;Nikolaos van Eekeren;06-27109561;NikolaosvanEekeren@rhyta.com;Berlaerstraat 117;Helmond;dinsdag 28 februari 2017;Afhalen;dinsdag 28 februari 2017;19:18;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 7,95;€ 16,90;;€ 0,00;€ 16,90
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Amsterdam Noord;Jacyntha Twaalfhoven;06-71636491;JacynthaTwaalfhoven@rhyta.com;Van Woustraat 159;Amsterdam;dinsdag 13 augustus 2019;Afhalen;dinsdag 13 augustus 2019;19:57;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;€ 45,80;3e pizza gratis bij bezorgen;€ 0,00;€ 45,80
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;2;Ananas, Ananas, Kaas;€ 3,00;€ 21,90;;;;

Woerden;Jitze van Ieperen;06-96108051;JitzevanIeperen@armyspy.com;Molenvlietbrink 165;Woerden;zaterdag 27 januari 2018;Afhalen;zaterdag 27 januari 2018;20:40;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 11,95;€ 44,30;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 42,30
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;1;Ananas, Merguez, Verse Tomaat, Tonijn;€ 4,50;€ 11,45;;;;
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Tilburg Thomas van Aquinostraat;Arno de Ruiter;06-54652674;ArnodeRuiter@fleckens.hu;Torentjeshoeve 40;Tilburg;donderdag 1 februari 2018;Afhalen;donderdag 1 februari 2018;16:12;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 17,90;€ 88,55;3e pizza gratis bij bezorgen;€ 0,00;€ 88,55
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 47,80;;;;

Amstelveen;Enrico Scheeren;06-96063715;EnricoScheeren@jourrapide.com;Saturnus 110;Amstelveen;donderdag 29 augustus 2019;Afhalen;donderdag 29 augustus 2019;16:22;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 42,70;;€ 0,00;€ 42,70
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;;;;

Eindhoven Gestel;Saba Scheerder;06-14006591;SabaScheerder@superrito.com;Groenlostraat 186;Eindhoven;dinsdag 26 september 2017;Bezorgen;dinsdag 26 september 2017;16:24;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 34,85;3e pizza gratis bij bezorgen;€ 0,00;€ 34,85
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 25,90;;;;

Dordrecht Van Oldenbarneveltplein;Nadya Yasar;06-40815581;NadyaYasar@jourrapide.com;Sarisgang 15;Dordrecht;dinsdag 11 juli 2017;Afhalen;dinsdag 11 juli 2017;19:12;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 17,90;25% korting op je bestelling;€ 4,48;€ 13,43
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;1;Geitenkaas, Spinazie;€ 2,00;€ 9,95;;;;

Breda Graaf Hendrik III Plein;Ruud Dekens;06-59349380;RuudDekens@armyspy.com;Zwaluwstraat 167;Breda;donderdag 3 januari 2019;Afhalen;donderdag 3 januari 2019;18:33;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 10,95;€ 10,95;3e pizza gratis bij bezorgen;€ 0,00;€ 10,95

Velp;Keisha Goudsblom;06-46036441;KeishaGoudsblom@rhyta.com;Vivaldisingel 174;Nieuw Vennep;dinsdag 24 september 2019;Bezorgen;dinsdag 24 september 2019;20:37;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Voorschoten;Yi Veldstra;06-24722542;YiVeldstra@rhyta.com;Richard Wagnerlaan 143;Voorschoten;zaterdag 15 juli 2017;Bezorgen;zaterdag 15 juli 2017;17:45;Tonno;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 43,75;;€ 0,00;€ 43,75
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;4;;€ 0,00;€ 35,80;;;;

Terneuzen;Nana Raven;06-37989058;NanaRaven@fleckens.hu;Axelsestraat 165;Zaamslag;zondag 17 december 2017;Afhalen;zondag 17 december 2017;19:23;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;€ 8,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 8,95

Barendrecht;Lena Güngör;06-33792567;LenaGungor@cuvox.de;Aardbeienpad 137;Barendrecht;zondag 22 januari 2017;Afhalen;zondag 22 januari 2017;18:03;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;€ 41,80;;€ 0,00;€ 41,80
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;;;;

Maassluis;Miquel Hazelaar;06-49529974;MiquelHazelaar@rhyta.com;Jozef Israelslaan 111;Maassluis;donderdag 14 november 2019;Afhalen;donderdag 14 november 2019;20:08;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 15,90;€ 55,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 53,70
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;;;;

Helmond;Oege Extra;06-87694300;OegeExtra@einrot.com;Marlijnstraat 60;Helmond;maandag 2 april 2018;Afhalen;maandag 2 april 2018;19:55;Americana;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 15,90;;€ 0,00;€ 15,90
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;

Amersfoort Vathorst;Adnane Banga;06-41247058;AdnaneBanga@jourrapide.com;Meerval 26;Amersfoort;vrijdag 21 april 2017;Bezorgen;vrijdag 21 april 2017;16:37;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;€ 25,90;;€ 0,00;€ 25,90
;;;;;;;;;;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 13,95;;;;

Nijmegen;Tineke van Norel;06-79483037;TinekevanNorel@teleworm.us;Geeresteinstraat 71;Nijmegen;vrijdag 15 juni 2018;Afhalen;vrijdag 15 juni 2018;18:42;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 8,95;;;;

Leiderdorp;Danae van de Kreeke;06-90443569;DanaevandeKreeke@jourrapide.com;Lammerweide 12;Leiderdorp;zaterdag 13 oktober 2018;Afhalen;zaterdag 13 oktober 2018;20:25;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 39,80;€ 109,45;;€ 0,00;€ 109,45
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 39,80;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 13,95;;;;

Amsterdam Overtoom;Derek Schuurs;06-92714227;DerekSchuurs@teleworm.us;Sarphatistraat 194;Amsterdam;donderdag 23 februari 2017;Bezorgen;donderdag 23 februari 2017;18:30;Veggi;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;€ 45,75;;€ 0,00;€ 45,75
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Oud Beijerland;Lilli Maas;06-41872710;LilliMaas@armyspy.com;Ben Goerionpad 166;Oud-Beijerland;dinsdag 30 januari 2018;Bezorgen;dinsdag 30 januari 2018;19:35;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 9,90;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;

Zoetermeer;Wesly Haaksman;06-35505732;WeslyHaaksman@teleworm.us;Dublinstraat 72;Zoetermeer;woensdag 7 november 2018;Afhalen;woensdag 7 november 2018;17:23;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Apeldoorn;Dani van Zonneveld;06-22769108;DanivanZonneveld@teleworm.us;Anna Bijnsring 49;Apeldoorn;maandag 11 september 2017;Bezorgen;maandag 11 september 2017;20:52;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 22,90;;€ 0,00;€ 22,90
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;;;;

Den Bosch;Jayda Schrage;06-59023958;JaydaSchrage@gustr.com;Kloosterlaan 63;s-Hertogenbosch;vrijdag 20 juli 2018;Afhalen;vrijdag 20 juli 2018;18:33;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 37,80;;€ 0,00;€ 37,80
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Amsterdam Aalsmeerweg;Sidra Romeijn;06-10957727;SidraRomeijn@armyspy.com;Huidenstraat 182;Amsterdam;vrijdag 9 maart 2018;Bezorgen;vrijdag 9 maart 2018;20:07;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;1;Bacon, Shoarma;€ 2,50;€ 12,45;€ 12,45;;€ 0,00;€ 12,45

Soest;Henk-Jan Plum;06-68903784;Henk-JanPlum@jourrapide.com;Smitsweg 164;Soest;donderdag 23 februari 2017;Bezorgen;donderdag 23 februari 2017;19:17;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 31,85;;€ 0,00;€ 31,85
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;;;;

Capelle a/d Yssel;Christina de Klerk;06-46858822;ChristinadeKlerk@cuvox.de;Arica 104;Capelle aan den IJssel;maandag 12 augustus 2019;Afhalen;maandag 12 augustus 2019;19:01;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 7,95;€ 19,90;2e pizza gratis bij afhalen;€ 7,95;€ 11,95
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Almere;Robina Merx;06-59170361;RobinaMerx@jourrapide.com;Hendrik Werkmanstraat 114;Almere;vrijdag 9 november 2018;Bezorgen;vrijdag 9 november 2018;17:45;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Wageningen;Hanan Kauffman;06-91696761;HananKauffman@teleworm.us;Dolderstraat 121;Wageningen;donderdag 6 juli 2017;Afhalen;donderdag 6 juli 2017;18:09;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;2;Spinazie, Chicken Kebab, Basilicum;€ 3,50;€ 30,90;€ 88,45;;€ 0,00;€ 88,45
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 27,80;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;4;;€ 0,00;€ 19,80;;;;
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;;;;

Harderwijk;Eldert Drop;06-80943473;EldertDrop@armyspy.com;Jannevroukamp 54;Harderwijk;maandag 20 november 2017;Bezorgen;maandag 20 november 2017;19:12;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Capelle a/d Yssel;Daniela Brummel;06-86502811;DanielaBrummel@gustr.com;Arendshof 108;Capelle aan den IJssel;donderdag 2 november 2017;Bezorgen;donderdag 2 november 2017;18:48;Funghi;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

