Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Rijswijk;Bibiche Snelders;06-35048326;BibicheSnelders@superrito.com;Hendersonstraat 39;Rijswijk;vrijdag 6 oktober 2017;Bezorgen;vrijdag 6 oktober 2017;20:42;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;1;Gorgonzola, Verse Tomaat;€ 2,00;€ 12,95;€ 55,75;25% korting op je bestelling;€ 13,94;€ 41,81
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;2;Spinazie, Rode Ui, Pepperoni;€ 3,00;€ 29,90;;;;

Delft Binnenwatersloot;Jana Rooker;06-27608569;JanaRooker@dayrep.com;Verwersdijk 102;Delft;dinsdag 14 februari 2017;Afhalen;dinsdag 14 februari 2017;16:32;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 13,95;€ 73,65;;€ 0,00;€ 73,65
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;4;Gehakt, Kaas, Kaas;€ 3,00;€ 35,80;;;;
;;;;;;;;;;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Den Bosch;Kyra Nomden;06-90216314;KyraNomden@fleckens.hu;Dertien Loten 109;s-Hertogenbosch;vrijdag 12 oktober 2018;Afhalen;vrijdag 12 oktober 2018;16:35;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;4;Spaanse Pepers, Verse Tomaat, Pepperoni, Verse Tomaat;€ 4,00;€ 47,80;€ 59,75;3e pizza gratis bij bezorgen;€ 0,00;€ 59,75
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Brunssum;Dikra Suurland;06-51179081;DikraSuurland@armyspy.com;Bouwbergstraat 150;Brunssum;woensdag 13 februari 2019;Bezorgen;woensdag 13 februari 2019;20:59;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;€ 37,80;;€ 0,00;€ 37,80
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;;;;

Lelystad;Jorna Hazewinkel;06-97313605;JornaHazewinkel@teleworm.us;Albatroslaan 79;Lelystad;vrijdag 3 augustus 2018;Bezorgen;vrijdag 3 augustus 2018;16:24;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;€ 89,55;25% korting op je bestelling;€ 22,39;€ 67,16
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 11,90;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;4;Pepperoni, Groene Olijven, Bacon, Merguez;€ 4,00;€ 47,80;;;;

Utrecht Adelaarstraat;Japke Lommen;06-72978263;JapkeLommen@dayrep.com;Thorbeckelaan 27;Utrecht;zaterdag 27 januari 2018;Afhalen;zaterdag 27 januari 2018;16:45;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;€ 66,65;;€ 0,00;€ 66,65
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;

Nootdorp;Kelsey van Dulmen;06-46529795;KelseyvanDulmen@cuvox.de;Grotestraat 30;Ede;donderdag 10 augustus 2017;Afhalen;donderdag 10 augustus 2017;17:45;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 64,65;2e pizza gratis bij afhalen;€ 8,95;€ 55,70
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;3;;€ 0,00;€ 29,85;;;;

Dordrecht Bamendaweg;Jolein Beers;06-22445291;JoleinBeers@einrot.com;Dubbelsteynlaan West 148;Dordrecht;donderdag 1 juni 2017;Afhalen;donderdag 1 juni 2017;18:51;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Nootdorp;Anna-Sophie Raaijmakers;06-29839353;Anna-SophieRaaijmakers@armyspy.com;Burgemeester Oldenhoflaan 45;Kampen;zondag 20 mei 2018;Afhalen;zondag 20 mei 2018;17:34;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;€ 18,90;;€ 0,00;€ 18,90
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Landgraaf;Lambertus Pijnenburg;06-12517742;Lambertus Pijnenburg@einrot.com;Verdistraat 193;Landgraaf;donderdag 28 november 2019;Afhalen;donderdag 28 november 2019;20:19;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Voorburg;Soeraya Beumer;06-38198076;SoerayaBeumer@cuvox.de;Hogeweg 47;Drunen;zondag 29 december 2019;Bezorgen;zondag 29 december 2019;20:41;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 11,95;€ 59,75;25% korting op je bestelling;€ 14,94;€ 44,81
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 47,80;;;;

Leidschendam;Satish Jekel;06-94241369;SatishJekel@armyspy.com;Valkhof 181;Leidschendam;dinsdag 22 oktober 2019;Bezorgen;dinsdag 22 oktober 2019;20:43;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 97,65;25% korting op je bestelling;€ 24,41;€ 73,24
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;4;Chorizo, Shoarma, Basilicum, Merguez;€ 4,00;€ 67,80;;;;

Dordrecht Van Oldenbarneveltplein;Emiel Nieuwkoop;06-60080917;EmielNieuwkoop@superrito.com;Blaauwweg 127;Dordrecht;dinsdag 6 februari 2018;Afhalen;dinsdag 6 februari 2018;18:29;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Zwolle;Zeynel Daalder;06-30022874;ZeynelDaalder@rhyta.com;Leliestraat 106;Zwolle;donderdag 13 juli 2017;Afhalen;donderdag 13 juli 2017;19:00;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 15,90;€ 15,90;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 15,90

Amersfoort Vathorst;Eldert Verbrugge;06-38188866;EldertVerbrugge@einrot.com;Zielhorsterweg 134;Amersfoort;woensdag 23 mei 2018;Bezorgen;woensdag 23 mei 2018;16:12;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;€ 35,80;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 33,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;

Maarssen;Rikje van Uitert;06-82932677;RikjevanUitert@cuvox.de;d'Orvillestraat 71;Maarssen;vrijdag 17 november 2017;Afhalen;vrijdag 17 november 2017;17:41;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;€ 71,65;;€ 0,00;€ 71,65
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;

Etten Leur;Anneroos Hoegen;06-23349117;AnneroosHoegen@armyspy.com;Pianohof 153;Etten-Leur;dinsdag 2 januari 2018;Afhalen;dinsdag 2 januari 2018;16:21;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 35,80;€ 74,60;;€ 0,00;€ 74,60
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 12,95;;;;

Landgraaf;Chinouk van der Baan;06-75763969;ChinoukvanderBaan@fleckens.hu;Doctor Calsstraat 9;Landgraaf;zaterdag 10 maart 2018;Afhalen;zaterdag 10 maart 2018;18:21;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 39,80;€ 51,70;;€ 0,00;€ 51,70
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 11,90;;;;

Middelburg;Tristen van Zetten;06-59757960;TristenvanZetten@cuvox.de;Abeelseweg 13;Middelburg;vrijdag 22 september 2017;Afhalen;vrijdag 22 september 2017;20:07;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 8,95;€ 88,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 86,65
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;4;Salami, Chorizo;€ 2,00;€ 55,80;;;;

Amsterdam Overtoom;Ramón Vorstenbosch;06-44131998;RamonVorstenbosch@rhyta.com;Burgemeester Roellstraat 28;Amsterdam;dinsdag 24 december 2019;Bezorgen;dinsdag 24 december 2019;20:50;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 6,95;€ 26,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 24,85
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 19,90;;;;

Geldrop;Martyn Puister;06-97815396;MartynPuister@cuvox.de;Jan C. de Rijpstraat 2;Geldrop;zaterdag 4 maart 2017;Afhalen;zaterdag 4 maart 2017;17:30;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;€ 47,75;;€ 0,00;€ 47,75
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Woerden;Adriane Valks;06-51723679;AdrianeValks@armyspy.com;Houtdijk 192;Kamerik;vrijdag 8 maart 2019;Afhalen;vrijdag 8 maart 2019;18:55;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 13,90;€ 13,90;;€ 0,00;€ 13,90

Leeuwarden;Raul Stempher;06-66193326;RaulStempher@jourrapide.com;Moezel 89;Leeuwarden;donderdag 28 juni 2018;Afhalen;donderdag 28 juni 2018;17:09;Tonno;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 66,70;;€ 0,00;€ 66,70
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 13,95;;;;

Heerhugowaard;Asja Dickhoff;06-98539438;AsjaDickhoff@armyspy.com;Hendrik Petrus Berlageweg 143;Heerhugowaard;maandag 23 juli 2018;Afhalen;maandag 23 juli 2018;17:03;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 12,95;€ 21,90;25% korting op je bestelling;€ 5,48;€ 16,43
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Alphen aan den Rijn;Jannetje Kraft;06-70704948;JannetjeKraft@armyspy.com;Ridderhof 156;Alphen aan den Rijn;woensdag 20 maart 2019;Bezorgen;woensdag 20 maart 2019;20:18;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Rotterdam Noord;Sylvain Cornelisse;06-59727102;SylvainCornelisse@dayrep.com;Nietzschestraat 125;Rotterdam;vrijdag 16 februari 2018;Bezorgen;vrijdag 16 februari 2018;19:23;Hawaii;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Amersfoort Vathorst;Marjolijne Roelse;06-40322845;MarjolijneRoelse@teleworm.us;Kamerdalseberg 107;Amersfoort;maandag 24 april 2017;Bezorgen;maandag 24 april 2017;18:17;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Breda Graaf Hendrik III Plein;Abdulrahman Lenstra;06-23049289;AbdulrahmanLenstra@cuvox.de;Van Veldekestraat 160;Breda;donderdag 5 april 2018;Bezorgen;donderdag 5 april 2018;17:08;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;€ 84,55;25% korting op je bestelling;€ 21,14;€ 63,41
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 31,80;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 25,90;;;;

Valkenswaard;Xena Rademaker;06-25583037;XenaRademaker@teleworm.us;De Scheepsvork 117;Valkenswaard;zondag 26 februari 2017;Afhalen;zondag 26 februari 2017;19:20;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 6,95;€ 50,75;;€ 0,00;€ 50,75
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Diemen;Tarkan van Bokhorst;06-54105325;TarkanvanBokhorst@armyspy.com;Heivlinderweg 151;Diemen;zondag 26 februari 2017;Bezorgen;zondag 26 februari 2017;17:49;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;€ 49,70;;€ 0,00;€ 49,70
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Veenendaal;Alieke Ramautar;06-43407701;AliekeRamautar@teleworm.us;Gerard Terborchstraat 129;Veenendaal;zondag 4 juni 2017;Bezorgen;zondag 4 juni 2017;17:29;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;€ 8,95;2e pizza gratis bij afhalen;€ 0,00;€ 8,95

Bergen op Zoom;Preston Naaijkens;06-79346938;PrestonNaaijkens@cuvox.de;Groenplaats 124;Bergen op Zoom;vrijdag 29 december 2017;Afhalen;vrijdag 29 december 2017;20:29;Supreme;Large Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 23,90;€ 77,60;25% korting op je bestelling;€ 19,40;€ 58,20
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 35,80;;;;

