Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Heerenveen;Fanny Nicolaas;06-40761175;FannyNicolaas@jourrapide.com;Brekken 30;Heerenveen;donderdag 11 januari 2018;Bezorgen;donderdag 11 januari 2018;17:59;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 27,90;€ 68,70;25% korting op je bestelling;€ 17,18;€ 51,53
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Purmerend;Echica Kentie;06-58966223;EchicaKentie@armyspy.com;B. Cocqgracht 156;Purmerend;zondag 16 april 2017;Afhalen;zondag 16 april 2017;18:34;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 23,85;;€ 0,00;€ 23,85
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 13,90;;;;

Rijswijk;Esra Muijs;06-84787860;EsraMuijs@jourrapide.com;Titus Brandsmastraat 47;Rijswijk;maandag 5 augustus 2019;Afhalen;maandag 5 augustus 2019;17:31;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;1;Kaas, Honing Mosterdsaus, Paprikamix, Geitenkaas;€ 3,50;€ 13,45;€ 45,25;;€ 0,00;€ 45,25
;;;;;;;;;;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 31,80;;;;

Vlaardingen;Sueda Traa;06-81292828;SuedaTraa@rhyta.com;Koninginnelaan 11;Vlaardingen;woensdag 26 juni 2019;Afhalen;woensdag 26 juni 2019;19:07;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 8,95;€ 64,70;3e pizza gratis bij bezorgen;€ 0,00;€ 64,70
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 27,90;;;;

Rotterdam Zuidplein;Hayat van de Vorstenbosch;06-11279547;HayatvandeVorstenbosch@cuvox.de;Verboomstraat 46;Rotterdam;maandag 21 januari 2019;Afhalen;maandag 21 januari 2019;18:36;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 44,75;25% korting op je bestelling;€ 11,19;€ 33,56
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;

Den Helder;Brecht Dammers;06-25291786;BrechtDammers@rhyta.com;Prins Willem-Alexandersingel 21;Den Helder;woensdag 13 december 2017;Afhalen;woensdag 13 december 2017;16:28;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 34,75;;€ 0,00;€ 34,75
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 27,80;;;;

Roosendaal;Nickey Noppert;06-18347681;NickeyNoppert@einrot.com;Toermalijndijk 195;Roosendaal;maandag 19 maart 2018;Afhalen;maandag 19 maart 2018;18:12;Shoarma;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;€ 67,65;25% korting op je bestelling;€ 16,91;€ 50,74
;;;;;;;;;;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;4;Merguez, Bacon, Ananas, Honing Mosterdsaus;€ 3,50;€ 41,80;;;;

Roermond;Senem Steunebrink;06-47758673;SenemSteunebrink@gustr.com;Pastoor Drehmannsstraat 105;Herten;donderdag 4 januari 2018;Bezorgen;donderdag 4 januari 2018;18:48;Deluxe;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 19,90;;€ 0,00;€ 19,90
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Soest;Marousha Walker;06-99880137;MaroushaWalker@armyspy.com;Anna Paulownalaan 70;Soest;maandag 17 juni 2019;Bezorgen;maandag 17 juni 2019;16:34;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 29,85;;€ 0,00;€ 29,85
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;;;;

Den Helder;Feray Steenvoorden;06-51946392;FeraySteenvoorden@jourrapide.com;Zuidstraat 25;Den Helder;zondag 13 mei 2018;Afhalen;zondag 13 mei 2018;18:44;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;2;Champignons, Ananas;€ 2,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Emmen;Dikra Olthoff;06-62710715;DikraOlthoff@rhyta.com;Holtingerbrink 7;Emmen;woensdag 18 december 2019;Afhalen;woensdag 18 december 2019;17:49;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;€ 39,80;3e pizza gratis bij bezorgen;€ 0,00;€ 39,80
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Osdorp;Geena Tan;06-51057350;GeenaTan@cuvox.de;Westfriesedijk 145;Lambertschaag;donderdag 15 februari 2018;Afhalen;donderdag 15 februari 2018;19:32;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;2;Chicken Kebab, Rode Ui;€ 3,00;€ 21,90;€ 94,25;;€ 0,00;€ 94,25
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;4;;€ 0,00;€ 27,80;;;;
;;;;;;;;;;0.25 liter Red Bull Regular;;;€ 2,25; 1;;;€ 2,25;;;;
;;;;;;;;;;Sweet Icing Saus;;;€ 0,50; 1;;;€ 0,50;;;;

Venlo;Zoëy Balk;06-61039859;ZoeyBalk@jourrapide.com;Antoniuslaan 64;Venlo;dinsdag 26 november 2019;Afhalen;dinsdag 26 november 2019;19:01;Funghi;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;€ 51,65;2e pizza gratis bij afhalen;€ 6,95;€ 44,70
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;Verse Tomaat, Paprikamix;€ 2,00;€ 21,90;;;;

Haarlem Zuid;Menna Soetendaal;06-80259959;MennaSoetendaal@rhyta.com;Doctor Schaepmanstraat 100;Haarlem;zondag 13 oktober 2019;Afhalen;zondag 13 oktober 2019;19:58;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 82,65;;€ 0,00;€ 82,65
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;1;Spaanse Pepers;€ 1,00;€ 12,95;;;;
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 47,80;;;;

Bergen op Zoom;Aicha van Gent;06-11116924;AichavanGent@teleworm.us;Albert Cuijpstraat 147;Bergen op Zoom;zaterdag 23 maart 2019;Afhalen;zaterdag 23 maart 2019;16:16;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 23,90;€ 88,55;;€ 0,00;€ 88,55
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 35,80;;;;

Groningen Paddepoel;Lan van den Pol;06-62632302;LanvandenPol@jourrapide.com;Kraaienest 158;Groningen;vrijdag 3 maart 2017;Afhalen;vrijdag 3 maart 2017;16:33;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 9,95;€ 57,25;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 55,25
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;1;Tonijn, Champignons, Rode Ui;€ 3,50;€ 14,45;;;;

Uden;Mason Mourits;06-39399400;MasonMourits@superrito.com;Annahof 3;Volkel;donderdag 18 april 2019;Afhalen;donderdag 18 april 2019;17:22;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 21,90;€ 33,85;25% korting op je bestelling;€ 8,46;€ 25,39
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 11,95;;;;

Breda Kesterenlaan;Yair de Waard;06-83725091;YairdeWaard@armyspy.com;Molenleystraat 40;Breda;woensdag 16 augustus 2017;Afhalen;woensdag 16 augustus 2017;19:11;Funghi;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Alphen aan den Rijn;Gido Nieuwenhuis;06-52912100;GidoNieuwenhuis@gustr.com;Lauwers 117;Alphen aan den Rijn;zaterdag 28 oktober 2017;Bezorgen;zaterdag 28 oktober 2017;20:08;Tonno;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 80,60;;€ 0,00;€ 80,60
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;4;Gehakt;€ 1,00;€ 35,80;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;1;Chorizo, Spinazie;€ 2,00;€ 9,95;;;;

Etten Leur;Varsha Kramer;06-19849862;VarshaKramer@armyspy.com;Emmalaan 43;Etten-Leur;woensdag 3 januari 2018;Bezorgen;woensdag 3 januari 2018;16:46;Caprese;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;€ 36,75;;€ 0,00;€ 36,75
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 11,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 7,95;;;;

Zeist;Jihane Melissant;06-14999169;JihaneMelissant@fleckens.hu;Montaubanstraat 101;Zeist;woensdag 3 januari 2018;Afhalen;woensdag 3 januari 2018;18:29;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;€ 23,90;25% korting op je bestelling;€ 5,98;€ 17,93

Spijkenisse;Yenna Ringnalda;06-12234180;YennaRingnalda@teleworm.us;Galileilaan 168;Spijkenisse;maandag 11 maart 2019;Bezorgen;maandag 11 maart 2019;19:41;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;4;;€ 0,00;€ 43,80;€ 43,80;;€ 0,00;€ 43,80

Roosendaal;Neeltje den Hoedt;06-15801535;NeeltjedenHoedt@einrot.com;Jacob van Ruijsdaelstraat 185;Roosendaal;dinsdag 12 september 2017;Bezorgen;dinsdag 12 september 2017;20:57;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;€ 45,30;;€ 0,00;€ 45,30
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;1;Knoflooksaus Swirl, Beenham, Tonijn;€ 3,50;€ 12,45;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;;;;

Roosendaal;Samina Ahlers;06-48287362;SaminaAhlers@gustr.com;Beetslaan 61;Roosendaal;vrijdag 2 november 2018;Bezorgen;vrijdag 2 november 2018;18:56;Caprese;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 26,85;;€ 0,00;€ 26,85
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Deventer;Iwan Schulten;06-61076832;IwanSchulten@fleckens.hu;Koningin Wilhelminalaan 100;Schalkhaar;zondag 16 december 2018;Afhalen;zondag 16 december 2018;19:34;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;3;;€ 0,00;€ 23,85;€ 55,70;;€ 0,00;€ 55,70
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;;;;

Bergen op Zoom;Ashwien Said;06-14288545;AshwienSaid@cuvox.de;Hazelnoot 197;Bergen op Zoom;maandag 11 december 2017;Bezorgen;maandag 11 december 2017;18:46;Funghi;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Woerden;Flora Magielse;06-97461855;FloraMagielse@dayrep.com;Bastion Willem 175;Woerden;dinsdag 6 augustus 2019;Bezorgen;dinsdag 6 augustus 2019;17:26;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 25,90;€ 61,70;;€ 0,00;€ 61,70
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;2;Chorizo, Pepperoni;€ 2,00;€ 17,90;;;;

Veghel;Bora Reitsma;06-48216756;BoraReitsma@gustr.com;Krielenberg 53;Veghel;maandag 4 februari 2019;Afhalen;maandag 4 februari 2019;20:48;Margaritha;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Breda Kesterenlaan;Joerie Boender;06-97911226;JoerieBoender@fleckens.hu;Woestenbergseweg 196;Bavel;woensdag 15 februari 2017;Afhalen;woensdag 15 februari 2017;19:53;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Etten Leur;Wendell Halmans;06-25695748;WendellHalmans@teleworm.us;Van Rooylaan 64;Etten-Leur;donderdag 6 september 2018;Afhalen;donderdag 6 september 2018;16:30;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Emmen;Regina van Bussel;06-18526884;ReginavanBussel@teleworm.us;Wekingeslag 127;Emmen;dinsdag 15 augustus 2017;Bezorgen;dinsdag 15 augustus 2017;20:22;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 8,95;€ 63,70;;€ 0,00;€ 63,70
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 43,80;;;;

Maastricht;Rolando Ackermans;06-33789319;RolandoAckermans@teleworm.us;Observantenweg 177;Maastricht;woensdag 17 oktober 2018;Bezorgen;woensdag 17 oktober 2018;20:09;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 8,95;€ 40,80;;€ 0,00;€ 40,80
;;;;;;;;;;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;1;Ham, Groene Olijven;€ 2,00;€ 12,95;;;;
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Deventer;Kingsley Hammink;06-99055109;KingsleyHammink@armyspy.com;Radstakeweg 142;Deventer;dinsdag 17 december 2019;Afhalen;dinsdag 17 december 2019;17:40;Hawaii;Large Pizza;Tomatensaus;€ 6,95;4;Verse Tomaat, Kip, Spinazie, Gehakt;€ 4,00;€ 59,80;€ 59,80;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 57,80

Zwolle;Mickey Koevoets;06-29401336;MickeyKoevoets@jourrapide.com;Fuchsiastraat 48;Zwolle;zondag 19 november 2017;Afhalen;zondag 19 november 2017;17:58;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;2;Honing Mosterdsaus, Ananas;€ 1,50;€ 28,90;€ 28,90;;€ 0,00;€ 28,90

Geldrop;Joya Klompenhouwer;06-83679002;JoyaKlompenhouwer@superrito.com;Wilgenhof 196;Geldrop;woensdag 25 december 2019;Bezorgen;woensdag 25 december 2019;17:40;Americana;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 45,80;;€ 0,00;€ 45,80
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;

Tiel;Danilson Binnekamp;06-95047455;DanilsonBinnekamp@superrito.com;Doctor Kuijperstraat 144;Tiel;zaterdag 5 oktober 2019;Bezorgen;zaterdag 5 oktober 2019;16:53;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 33,80;2e pizza gratis bij afhalen;€ 0,00;€ 33,80
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;;;;

Delft Binnenwatersloot;Christianus van Wijnbergen;06-18799806;ChristianusvanWijnbergen@fleckens.hu;Papsouwselaan 114;Delft;vrijdag 17 maart 2017;Bezorgen;vrijdag 17 maart 2017;17:26;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 31,80;€ 62,65;2e pizza gratis bij afhalen;€ 0,00;€ 62,65
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Rotterdam Schiebroek;Rueben van der Togt;06-36158837;RuebenvanderTogt@dayrep.com;Knikbloem 60;Rotterdam;woensdag 12 december 2018;Bezorgen;woensdag 12 december 2018;18:33;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Almelo;Ard Klaasse;06-57406712;ArdKlaasse@superrito.com;De Haere 111;Almelo;woensdag 14 november 2018;Afhalen;woensdag 14 november 2018;20:43;0.2 liter Capri Sonne;;;€ 1,00; 2;;;€ 2,00;€ 2,00;25% korting op je bestelling;€ 0,50;€ 1,50

Meppel;Cerise Doornbos;06-95525831;CeriseDoornbos@superrito.com;Donker Curtiusstraat 102;Meppel;woensdag 29 augustus 2018;Bezorgen;woensdag 29 augustus 2018;18:41;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Apeldoorn;Haris Dirks;06-98336550;HarisDirks@jourrapide.com;Hattemse Beek 195;Apeldoorn;dinsdag 31 januari 2017;Afhalen;dinsdag 31 januari 2017;17:26;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 8,95;€ 8,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 8,95

Amersfoort;Taylan Fleur;06-71417415;TaylanFleur@einrot.com;Fortranweg 34;Amersfoort;dinsdag 19 februari 2019;Afhalen;dinsdag 19 februari 2019;16:29;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;4;;€ 0,00;€ 35,80;€ 35,80;;€ 0,00;€ 35,80

Delfzijl;Lex Rose;06-18378067;LexRose@einrot.com;Oosterwierum 171;Farmsum;zondag 21 juli 2019;Afhalen;zondag 21 juli 2019;20:40;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;2;Spinazie, Ananas;€ 2,00;€ 13,90;€ 18,85;2e pizza gratis bij afhalen;€ 4,95;€ 13,90
;;;;;;;;;;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 4,95;;;;

Maarssen;Meine van Dee;06-74279535;MeinevanDee@dayrep.com;Zwanenkamp 118;Maarssen;donderdag 28 februari 2019;Bezorgen;donderdag 28 februari 2019;20:33;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;4;;€ 0,00;€ 19,80;€ 28,75;;€ 0,00;€ 28,75
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Veldhoven;Lani Buitenhuis;06-55607642;LaniBuitenhuis@armyspy.com;Spica 150;Veldhoven;vrijdag 30 maart 2018;Bezorgen;vrijdag 30 maart 2018;16:57;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;€ 4,95;;€ 0,00;€ 4,95

Rotterdam Hoogvliet;Rosie Nagelhout;06-55376005;RosieNagelhout@armyspy.com;Texelsestraat 155;Rotterdam;donderdag 25 juli 2019;Afhalen;donderdag 25 juli 2019;17:04;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;2;Merguez, Paprikamix;€ 2,00;€ 27,90;€ 36,85;;€ 0,00;€ 36,85
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

